pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__FFN-1,layer_avg_latency_ms__FFN-1,layer_avg_power_W__FFN-1,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__Output-proj,layer_avg_latency_ms__Output-proj,layer_avg_power_W__Output-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J
B1_P1024_M1024,0.014258199999999999,0.0385107958984375,370.22074987751284,0.07049075,0.1767142333984375,398.8729240865495,0.06517274999999999,0.17147071838378905,380.0620344029798,0.0174981,0.04344560546875,402.72582836869276,0.015207,0.043294003295898435,351.20307399364395,0.01742065,0.04338928527832031,401.46552957083713,0.01589896,0.0391850390625,405.72339279288303,0.024406039999999997,0.065343076171875,373.49495735559015,0.01752955,0.0434471435546875,403.439453590479,0.6647999005126953,0.257882
B1_P2048_M2048,0.058341660000000004,0.1468669140625,397.2345822925886,0.12999675,0.31935565185546877,407.0457971313573,0.1197745,0.3007740173339844,398.2055976308404,0.02987255,0.07747742919921875,385.54621741876457,0.028335500000000003,0.07746918334960938,365.730441094918,0.0318332,0.07744813842773438,411.0047852055879,0.07292772,0.18392216796875,396.50698902061197,0.10235780000000001,0.273672578125,374.0098623029141,0.0301136,0.07751972045898438,388.4436138989008,1.53450580078125,0.6035532800000001
B1_P256_M256,0.00158338,0.006422036743164062,246.5059465800715,0.019106124999999998,0.04855436706542969,393.4346896010716,0.024240375,0.060283519744873046,402.0557594062228,0.004828949999999999,0.0165359619140625,291.97280040471065,0.0056151000000000005,0.016520089721679686,339.7782193601737,0.0044684,0.016517478942871092,270.47283271350733,0.0012837799999999998,0.0063143731689453125,203.2715049089113,0.00095492,0.005146173706054687,185.51723092629513,0.006472799999999999,0.016535603332519532,391.37482870390033,0.19282960433959961,0.06855383
B1_P512_M512,0.0031286599999999997,0.011860521240234375,263.7567454288751,0.038244875,0.09134130859375,418.66930474644334,0.039473875,0.09623014068603515,410.16995964957016,0.010189,0.029350860595703125,347.1091947227411,0.009476,0.029350808715820312,322.79163614607376,0.00854305,0.02942161865234375,290.33644980269264,0.0040212799999999995,0.014377799072265624,279.66240726026155,0.00383484,0.0130117431640625,294.69103998621637,0.0101575,0.029346099853515627,346.09054897834557,0.34429090057373046,0.12706908
B2_P1024_M1024,0.0270729,0.0692381298828125,390.9999597519063,0.125854875,0.3198076171875,393.52018784332586,0.119435375,0.30138919067382813,396.2655625620302,0.031730549999999996,0.07811732177734375,406.17005213743624,0.0317701,0.0774709228515625,410.052502650281,0.03180215,0.07810841674804687,407.13275582609344,0.0384317,0.095040732421875,404.35999747665414,0.04862956,0.121863681640625,399.0394386050574,0.0317538,0.07819120483398438,406.0832448669716,1.219227218017578,0.48648101
B2_P2048_M2048,0.09379512000000001,0.23635091796875,396.8396970009469,0.24000849999999999,0.5925629272460937,405.02353367699516,0.24959912499999998,0.62378662109375,400.12518062759284,0.0598621,0.15218447265625,393.33802485603013,0.0600688,0.15221688232421876,394.60492386294095,0.061823350000000006,0.1522692138671875,405.99977665890185,0.14725162,0.368957578125,399.0955703049161,0.20925612000000002,0.5300462109375,394.78287877271316,0.060029,0.15200081787109376,394.91254215248335,2.9603756420898435,1.181693735
B2_P256_M256,0.0020565600000000002,0.007907593994140625,260.0315381921403,0.034581,0.0924747543334961,373.91822472352845,0.03562325,0.09738444519042969,365.76695029343927,0.011047,0.02932894592285156,376.6130021319754,0.0098919,0.029325927734375,337.24034012702634,0.0108609,0.0294361083984375,368.9243017888131,0.00204428,0.009344225463867187,218.74641964155882,0.00248802,0.007744696044921875,321.2014448626737,0.011071850000000001,0.029328128051757812,377.47734669757676,0.33227482513427736,0.11966476000000001
B2_P512_M512,0.0064871,0.02061434814453125,314.6649366983523,0.070194125,0.1784523468017578,393.33027707331104,0.06557625,0.17187046813964843,381.5242143338759,0.0177833,0.044004043579101565,404.0975660902286,0.0154273,0.04380078125,352.1680337587631,0.0158896,0.04403015747070312,360.8508712110497,0.008426340000000001,0.02231918701171875,377.51254647474167,0.012517799999999999,0.0314758154296875,397.67583877782454,0.0175442,0.0440089599609375,398.6045034507175,0.6005761077880859,0.22984601500000001
B4_P1024_M1024,0.05277671999999999,0.13293916015625,396.98974778577536,0.23600887499999998,0.5923505859375,398.41672732473654,0.24937162499999999,0.6236602783203125,399.8414977990909,0.06185255,0.152361474609375,405.94517115703667,0.059922699999999995,0.1522001953125,393.6856880299084,0.060292700000000005,0.15243831787109374,395.5085180316364,0.07460886,0.18842912109375,395.94411319883903,0.09288940000000001,0.2335033984375,397.8003422174155,0.059997249999999995,0.152362548828125,393.76622574369196,2.3802450805664064,0.94772068
B4_P2048_M2048,0.17664396000000002,0.442893984375,398.8344187775593,0.45019962500000005,1.1306201171875,398.18012916105374,0.47654037499999996,1.20439794921875,395.6590927064677,0.11992225000000001,0.2997821044921875,400.0216327186512,0.11950219999999999,0.3002311767578125,398.02079128731725,0.119913,0.2999520751953125,399.7646031141892,0.29650592,0.74424046875,398.3954141213783,0.41402987999999996,1.0402953125,397.9877041972383,0.1199825,0.2996669921875,400.37597283499116,5.7620801806640625,2.29323971
B4_P256_M256,0.0042831200000000005,0.014069022216796874,304.4038216696093,0.070423625,0.17857151794433593,394.3524388733725,0.069325125,0.1726862030029297,401.4305046509611,0.01765015,0.04401018981933594,401.01452267671755,0.016016100000000002,0.04375982055664063,365.9487382629894,0.01754275,0.04403343505859375,398.36443850138824,0.00429986,0.014840177001953125,289.7187539353831,0.0050030000000000005,0.012816773681640624,390.30846923248373,0.017603999999999998,0.04402221984863281,399.8564564383906,0.5688093591308594,0.22214773
B4_P512_M512,0.01596498,0.04002113525390625,398.89556386349926,0.12424262500000001,0.32131085205078125,386.66126701959314,0.11965949999999999,0.3014394836425781,396.9431492977491,0.03183195,0.07807119140625,407.7082765543506,0.0319209,0.07751004028320313,411.7930738342848,0.03184485,0.07808245849609376,407.8149358378704,0.01899782,0.0477614892578125,397.7482462433174,0.0238845,0.060181875,396.8591648009245,0.03179545,0.0781054443359375,407.05996110351583,1.0824839697265625,0.43014257499999997
B8_P1024_M1024,0.09925272,0.2480848046875,400.0687550565868,0.45019037500000003,1.130962158203125,398.0517489249559,0.481284125,1.204780517578125,399.4707631290357,0.11990415,0.299625634765625,400.17026772382025,0.11972809999999999,0.3005073486328125,398.405967502128,0.11992865,0.2998467529296875,399.9564033608699,0.13999182000000002,0.3512607421875,398.53472399617397,0.18040916,0.4534568359375,397.8472002591022,0.11994655,0.299450830078125,400.54508196658645,4.587975625,1.83063565
B8_P2048_M2048,0.35126036,0.880891015625,398.7506708696694,0.9017238750000001,2.262105712890625,398.61519894802876,0.95782525,2.40353955078125,398.50008611187036,0.23620479999999996,0.59530234375,396.7740532302369,0.23894459999999998,0.59535615234375,401.3369720646132,0.2366993,0.595244970703125,397.64313211485853,0.5900517399999999,1.4820721875,398.1213672006109,0.82328764,2.0673778125,398.2233303833065,0.2362264,0.59528271484375,396.823519966255,11.4771724609375,4.572223964999999
B8_P256_M256,0.006285560000000001,0.01761091552734375,356.88268165931936,0.129865875,0.3199718322753906,405.85295949549095,0.11972637500000001,0.30063552856445314,398.22906649239496,0.0317286,0.0780896240234375,406.2869862884563,0.0321616,0.07761622924804687,414.3263294407974,0.031630700000000005,0.078078564453125,405.09273415114103,0.009341219999999999,0.0231493212890625,403.4935482709621,0.0125212,0.032197529296875,388.8644158292019,0.0317838,0.07811123046875,406.8827916568084,1.0054607751464844,0.40504492999999997
B8_P512_M512,0.02800004,0.070371533203125,397.8763675919471,0.23552437499999998,0.5925850830078125,397.441818887789,0.24515525,0.6227443237304687,393.6587511301045,0.06020155,0.1520954833984375,395.8006201502976,0.0596929,0.152150830078125,392.3072757833875,0.0600679,0.152155908203125,394.7648067718309,0.03830692,0.095763984375,400.00297598574423,0.04473576,0.11318521484375,395.23418563408796,0.0618226,0.152154931640625,406.29983607565293,2.1032072924804686,0.833507295
