pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J,pipeline_energy_with_idle_J,p2p_transfer_energy_J,pipeline_energy_with_idle_and_p2p_J
llama3.1_70b_decode_b16_kv1024,0.00169874,0.0056507275390625,300.601546827601,0.12078,0.5132284545898438,235.31413178276347,0.12244,0.31226296997070313,392.04788291872154,0.0022199000000000003,0.009168486022949219,242.07388622478126,0.031589400000000004,0.14630684814453124,215.90354547908217,0.031499200000000005,0.1465020751953125,215.0046336248461,0.00241632,0.004332514038085937,557.6655704084056,0.00093956,0.004272496032714844,219.88832962978634,0.153808,0.31222918701171876,492.5491604252244,0.0032197000000000003,0.009166377258300782,351.180775031642,1.4631201358032229,0.47061082,0.6357232184542847,0.011010,0.646733
llama3.1_70b_decode_b16_kv2048,0.002085,0.0060910821533203124,342.27573771163003,0.186338,0.5133587036132813,362.95130529239054,0.070382,0.31229031372070315,225.34188190801677,0.0025452,0.00943531494140625,269.69320041798346,0.0323154,0.1463010986328125,220.8785233648817,0.0331718,0.14669410400390626,226.1249883769425,0.00239908,0.005317254638671875,451.15650858023,0.0019967599999999998,0.0075102288818359375,265.8491175183087,0.155678,0.312244873046875,498.5125164528028,0.0032796,0.009166079711914063,357.7282817076794,1.4684090533447267,0.49019084,0.6551238492254639,0.017721,0.672845
llama3.1_70b_decode_b16_kv4096,0.0031012,0.008776898803710938,353.31916751634293,0.18905000000000002,0.5130811767578125,368.42821143715935,0.06844599999999999,0.31221197509765625,219.2006847147333,0.0027328,0.009423200225830078,289.9403874816437,0.0350515,0.1463049560546875,239.57410584069953,0.0340067,0.14697698974609374,231.36899044711933,0.00289736,0.007949902954101562,364.4322041258898,0.00479754,0.01309833251953125,366.25948727551366,0.15415399999999999,0.3122606201171875,493.6051026373377,0.0033074,0.009165315246582031,360.79005498759835,1.4792493675231935,0.49754450000000006,0.661864808002472,0.031143,0.693008
llama3.1_70b_decode_b16_kv512,0.0009295,0.00376877197265625,246.60513992204838,0.187412,0.5130805053710937,365.2406199944889,0.067292,0.3122293090820312,215.4819217225977,0.0024690000000000003,0.009167542266845703,269.2590735935792,0.0340995,0.14637861328125,232.94956381618752,0.03402,0.1463023193359375,232.52648906010793,0.0013538200000000002,0.0029895928955078126,452.7846725383199,0.00045906,0.002612315368652344,175.70312405553923,0.152296,0.3122218933105469,487.7193875738566,0.0032759,0.009167453002929687,357.2697129011229,1.4579183158874511,0.48360678,0.6488866832020569,0.007655,0.656541
llama3.1_70b_decode_b1_kv1024,0.00026975999999999997,0.003657301025390625,73.75150988529751,0.07806999999999999,0.3109549560546875,251.03249109321092,0.152614,0.365266357421875,417.76065906769094,0.003956,0.009421459197998047,419.78892604597274,0.0199936,0.05496828002929687,363.7073504430998,0.020762799999999998,0.056773095703125,365.677450719849,0.0004975,0.0019474893188476563,255.40649800890276,0.0007366800000000001,0.004207724914550781,175.05966723909626,0.155162,0.3653602600097656,424.57835431298463,0.0026261,0.009426016235351562,278.54008327045875,1.1819829399108888,0.43468843999999995,0.5459113247084044,0.000688,0.546599
llama3.1_70b_decode_b1_kv2048,0.00083982,0.004366588745117188,192.30976279834735,0.159692,0.3110136413574219,513.3818225884688,0.151884,0.365321533203125,415.70622437450146,0.0,0.00941878433227539,0.0,0.0184103,0.054991925048828126,334.75438253530535,0.020227000000000002,0.05678427734375,356.1888482034017,0.00037152,0.0021204185485839844,175.18028392259384,0.0006920399999999999,0.007191943969726562,96.21676637935742,0.155058,0.36534100341796877,424.37059294748315,0.0,0.009424208068847657,0.0,1.1859743240356444,0.5071746800000001,0.618209286956482,0.001108,0.619317
llama3.1_70b_decode_b1_kv4096,0.00084468,0.00524426025390625,161.05459883755563,0.15881800000000001,0.3110382080078125,510.5414634073987,0.15166200000000002,0.36526751708984373,415.1606055461125,0.0038228999999999997,0.009421775817871094,405.6553014284766,0.0181667,0.0550165283203125,330.1760741146675,0.022123,0.05681879272460937,389.33842090370274,0.0009619199999999999,0.0026098501586914063,368.4989279772493,0.00034278,0.0027030169677734377,126.79643822676265,0.153872,0.36536422729492185,421.105595250706,0.0026295999999999997,0.009424537658691405,278.96100390917275,1.1829087142944334,0.51324358,0.6244265901394653,0.001946,0.626373
llama3.1_70b_decode_b1_kv512,0.00022142,0.003382584228515625,65.45015108424612,0.159488,0.31085690307617186,512.9937558165226,0.145952,0.3653607177734375,399.4179565685447,0.003059,0.009204275512695313,332.1639592434321,0.0200427,0.05497886962890625,364.5146296275181,0.0180054,0.054668035888671876,329.30552267890835,0.00047522,0.0018023820495605468,263.6063269874153,0.00047415999999999995,0.0024903199768066407,190.34915367792917,0.153086,0.3654674682617188,418.8291842569506,0.0026259,0.009205289459228515,285.1915770929174,1.1774168458557128,0.5034297999999999,0.6149064026542663,0.000478,0.615385
llama3.1_70b_decode_b4_kv1024,0.00082392,0.0041520895385742185,198.41757801025366,0.075512,0.31055181884765626,243.1250316652868,0.12539,0.310835205078125,403.3414273284619,0.0,0.007580131530761719,0.0,0.0223981,0.09459573974609375,236.76991630553118,0.0280907,0.0928211181640625,302.6241620750204,0.0010791800000000001,0.002539168701171875,424.9491008733338,0.0005631,0.004097964782714843,137.39761162135275,0.15037799999999998,0.3108328857421875,483.73142666188375,0.0030138,0.0075807708740234375,397.45816718503806,1.1455868930053712,0.40724879999999997,0.49557323209991455,0.002753,0.498326
llama3.1_70b_decode_b4_kv2048,0.0007549599999999999,0.004749980163574218,158.91953978455535,0.154018,0.3105474548339844,495.895850351282,0.07065,0.3109486694335937,227.17617695280433,0.0,0.007581881713867187,0.0,0.0249353,0.09446472778320313,263.94944984006366,0.030349200000000003,0.09240889892578125,328.410484095235,0.0012293,0.0032405023193359376,379.30983631797216,0.00125312,0.007069251708984375,177.25407807970478,0.15072,0.31088140869140624,484.74955414093324,0.0030063,0.007581321716308593,396.44964803025385,1.149474097290039,0.43691618,0.5251167468670654,0.004430,0.529547
