pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J,pipeline_energy_with_idle_J,p2p_transfer_energy_J,pipeline_energy_with_idle_and_p2p_J
llama3.1_70b_prefill_b16_s1024,0.89533138,1.62268625,551.7536420302885,15.59925,25.939685546875,601.3590106477615,14.162426,23.730955078125,596.7842263989534,0.5339955,0.88566318359375,602.9258231518828,4.489022,7.47610234375,600.4436119150098,4.4697712,7.44689609375,600.2136899254051,0.9925538,1.6878859375,588.0401030703139,1.2975454,2.92611875,443.4318561231883,14.159072,23.72126171875,596.8867468392408,0.5280523,0.8857646484375,596.1472974836137,96.32301955078124,57.12701958,64.465342,11.274289,75.739631
llama3.1_70b_prefill_b16_s2048,3.43791576,6.114486875,562.2523667615116,28.438982,47.41589453125,599.7710766383705,28.295154,47.070546875,601.1161371261825,1.0200544,1.7023423828125,599.1996271224284,8.9340238,14.887175,600.1099728644672,8.9094234,14.851928125,599.8776226929773,3.9903900599999997,6.707698125,594.8918641324725,5.32270024,13.05972875,407.5627610353222,28.319132,47.089734375,601.3801756242359,1.0198914000000001,1.702398046875,599.083898669312,200.60193308593747,117.68766706,129.997733,36.292474,166.290207
llama3.1_70b_prefill_b16_s4096,14.20711408,23.6798475,599.961167671484,56.637408,94.4123203125,599.8880131576626,56.51764,94.340625,599.0742036758072,2.0338491000000003,3.3914453125,599.6942188688566,16.174616200000003,26.960171875,599.9394668298983,16.120779000000002,26.871884375,599.9071913743403,16.05368226,26.8225125,598.5100758075534,28.230414160000002,58.00279,486.7036968467966,56.516108,94.31265625,599.2354811979264,2.033849,3.390765234375,599.8137505018935,452.185018359375,264.5254598,286.662678,127.560529,414.223207
llama3.1_70b_prefill_b16_s512,0.26998494,0.4501791015625,599.721752849242,7.800514,12.9934921875,600.3325620970197,7.865565999999999,13.1096845703125,599.9737151520293,0.2639338,0.430488720703125,613.0937806654923,2.243921,3.7446984375,599.2199480193877,2.2379632000000003,3.732428515625,599.5938064644641,0.2575113,0.4643619140625,554.5432159323847,0.32416626,0.734260625,441.48217891455465,7.9212039999999995,13.1317626953125,603.2006581515489,0.25811219999999996,0.430388720703125,599.7066916191105,49.22174548828124,29.4428767,33.137191,3.919158,37.056349
llama3.1_70b_prefill_b1_s1024,0.05533818,0.10549125,524.5693716390388,0.958612,1.649385498046875,581.1620440340105,0.9593160000000001,1.637964111328125,585.6561310223306,0.0388299,0.07997738647460938,485.49374951080307,0.2891602,0.48204873046875,599.8477748600336,0.2882772,0.4805533203125,599.8752500278935,0.062033540000000005,0.10881611328125,570.0666790906178,0.08143524,0.18585109375,438.16892164449325,0.9617960000000001,1.6451827392578124,584.5959255732,0.037937599999999995,0.0799492431640625,474.50742633424795,6.455219486083983,3.73273586,4.184474,0.704643,4.889117
llama3.1_70b_prefill_b1_s2048,0.21320705999999998,0.3854259375,553.1667379783385,1.92392,3.3480634765625,574.6256282038466,2.040866,3.25915771484375,626.181052325927,0.0719022,0.123972802734375,579.9691363468907,0.5588781,0.9252705078125,604.0094793675352,0.5581067,0.92248408203125,604.9973031140911,0.25071008,0.4202211328125,596.6080580813035,0.33014896,0.801243046875,412.04189418995173,1.919648,3.26470361328125,587.9866029536112,0.0780047,0.12398358154296875,629.1392762993784,13.574525895996095,7.9453918,8.841167,2.268280,11.109447
llama3.1_70b_prefill_b1_s4096,0.88559604,1.4754203125,600.2274774946238,3.841138,6.5663818359375,584.9611208802429,3.84221,6.397271484375,600.591718936265,0.1501312,0.251513916015625,596.900259773386,0.9718326999999999,1.6122357421875,602.7793460736947,0.9721931,1.62094833984375,599.7619185017364,1.00643368,1.67851,599.5940147907281,1.7471308799999998,3.6297403125,481.3334454362883,3.841418,6.39708740234375,600.485201768126,0.1501105,0.251656787109375,596.480073909505,29.880766132812504,17.408194100000003,19.018431,7.972533,26.990964
llama3.1_70b_prefill_b1_s512,0.01373766,0.02295966796875,598.3153753241421,0.478862,0.8763719482421874,546.3861338365547,0.47987,0.845001220703125,567.8533258862626,0.0165007,0.03655870056152344,451.30965075848485,0.1511848,0.2485453369140625,608.2648414647323,0.14944449999999998,0.247668603515625,603.3779297923178,0.01188134,0.02344350341796875,506.7875604071218,0.00966424,0.016027542724609375,602.9464506901248,0.482016,0.8450372314453125,570.3600380390724,0.022331200000000002,0.03655877685546875,610.7719776956415,3.198172532348633,1.8154924399999999,2.065942,0.244947,2.310889
llama3.1_70b_prefill_b4_s1024,0.22021169999999998,0.408555859375,538.9947018546816,3.84389,6.56164892578125,585.8028336107645,3.8387179999999996,6.38997509765625,600.7313963923461,0.14994169999999998,0.24974375,600.372097996925,0.9672811,1.608804296875,601.2354127529068,0.9659407999999999,1.61005595703125,599.935323163607,0.24886426,0.422791015625,588.6165691316174,0.32377651999999996,0.734273515625,440.94363251683075,3.841422,6.3838232421875,601.7331993688895,0.1501285,0.2496248291015625,601.4068982436496,24.619296489257813,14.55017458,16.395048,2.818572,19.213620
llama3.1_70b_prefill_b4_s2048,0.86384502,1.52721140625,565.6302595651723,7.800352,13.033232421875,598.4894482268776,7.921551999999999,13.177666015625,601.1270900221443,0.2580862,0.431416845703125,598.2203074835121,2.2565086,3.753996875,601.0888315361631,2.243909,3.74102734375,599.8048731932937,1.0004813000000001,1.67754484375,596.3902974682294,1.3181138200000002,3.1625246875,416.7881300032169,7.803052,13.1724990234375,592.3672674287105,0.25783,0.431494287109375,597.5199827453661,54.10861375,31.723729940000002,35.218792,9.073118,44.291910
