pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J
llama3.1_8b_decode_b16_kv1024,0.00077548,0.004442015380859375,174.5634052076167,0.015416375,0.039029949188232424,394.96397568859516,0.014489875,0.04610574340820312,314.25692152189407,0.00348795,0.006061816024780274,575.3104843993402,0.0053909,0.013619259643554687,395.7996529916671,0.0038533499999999997,0.0136321533203125,282.6452492824199,0.00134702,0.0029806695556640625,451.86271354001997,0.00069718,0.004053815002441406,171.96646330626857,0.014601749999999998,0.04608844757080078,316.803984499801,0.0014922000000000002,0.006061193466186524,246.154215661874,0.18207506256103512,0.061552079999999995
llama3.1_8b_decode_b16_kv2048,0.00094424,0.005568118286132812,169.56815075082048,0.015619,0.03903585433959961,400.09368485706096,0.0196085,0.04608199691772461,425.49056725157925,0.0018500499999999998,0.00606385269165039,305.0504745977961,0.005174949999999999,0.01359876708984375,380.51826060102,0.00596565,0.013642491149902344,437.2521538505206,0.001623,0.004517857971191406,359.21159636063345,0.0017213200000000001,0.00700978515625,245.54651096236685,0.01923625,0.04608729553222656,417.3634103334225,0.0030338,0.006060772705078125,500.4904359658405,0.1876667918395996,0.07477676
llama3.1_8b_decode_b16_kv4096,0.00210402,0.006579737548828125,319.7533365533808,0.012781750000000001,0.03956089782714844,323.0678385488269,0.019461375,0.04633062744140625,420.03216533042183,0.0016204000000000001,0.006063763046264648,267.1877893797852,0.0055408,0.013636990356445312,406.2772219557503,0.00589985,0.013648638916015626,432.2345420253506,0.00230786,0.005305119018554688,434.99461856594684,0.0027547,0.006940805053710937,396.86386865597376,0.01458075,0.046338417053222655,314.64116728983726,0.0015056499999999999,0.006062716674804687,248.3088870953602,0.19046771293640136,0.06855715500000001
llama3.1_8b_decode_b16_kv512,0.0006850799999999999,0.0034063198852539063,201.09835486691296,0.02048775,0.039041961669921875,524.7299754739937,0.01914125,0.04617243957519531,414.53714782262216,0.0015592,0.0060677536010742186,256.91710007245166,0.0051871,0.01362518310546875,380.6736390198547,0.0058654499999999995,0.01363436737060547,430.16308396895516,0.00051988,0.0025192198181152345,206.3354278718758,0.00042502,0.002460548553466797,172.71064664067225,0.01442875,0.046337879180908204,311.36476059167194,0.00300885,0.006061369705200196,496.32896978563747,0.17932704246520997,0.07130833
llama3.1_8b_decode_b1_kv1024,0.00047018,0.0034237579345703126,137.31284410369418,0.0286825,0.06486744689941407,442.151835611858,0.028606625,0.06256393814086914,457.21847981824044,0.00128185,0.00791910858154297,161.8378396462033,0.0091083,0.0505155029296875,180.30232036533448,0.01081585,0.050712924194335936,213.27006347455352,0.0005177199999999999,0.0020116729736328123,257.30880347462704,0.00050582,0.004027164306640625,125.58983489466603,0.03174675,0.06247526168823242,508.127232687214,0.00141105,0.007926634979248047,177.99204686894478,0.31644341262817377,0.11314664499999999
llama3.1_8b_decode_b1_kv2048,0.0004855,0.0041052651977539064,118.25153981667718,0.0285795,0.06457742309570312,442.54273839806984,0.028346125,0.06257532119750976,452.9717472554676,0.0022687000000000002,0.007931224060058594,286.01423999321787,0.00902175,0.05048841552734375,178.68481385285406,0.009161,0.050580252075195314,181.11294021409506,0.0005827,0.0019460313415527344,299.37649308648315,0.00097036,0.007008232421875,138.4525269191407,0.031512125,0.06250116348266602,504.1626329806842,0.0014457,0.007920912170410157,182.49598892319057,0.3196342405700684,0.11237346000000001
llama3.1_8b_decode_b1_kv4096,0.0005761,0.004554313049316406,126.48466503370238,0.028491875,0.06488298034667969,439.10895888840304,0.028610499999999997,0.06298992919921875,454.1884869470991,0.0012759,0.007951913452148438,160.43350630548804,0.009045399999999999,0.05051573486328125,179.05653214633833,0.0093471,0.05053880615234375,184.94409628161333,0.00049768,0.002336170196533203,212.9995625525063,0.00062696,0.002682483215332031,233.69486106595144,0.031314625,0.06279532623291016,498.6569581375328,0.002934,0.007919992065429687,370.414059181865,0.31716764877319337,0.11272014
llama3.1_8b_decode_b1_kv512,0.00045579999999999997,0.003255121154785156,140.00872504424157,0.023428125,0.06511793518066407,359.7646197407822,0.031011875,0.06272615814208984,494.3788351592326,0.00251685,0.0079661376953125,315.90348192732097,0.009390349999999999,0.05048910827636719,185.9824520920529,0.0094055,0.05048394470214844,186.30053741587238,0.00033308,0.0017661978149414062,188.54455835003398,0.00023042,0.0024390879821777345,94.4561302882091,0.031994875,0.062468631744384766,512.1518556839525,0.00301025,0.007957279968261718,378.25679501844655,0.3146696026611328,0.111777125
llama3.1_8b_decode_b4_kv1024,0.00031522,0.0035344110107421874,89.16539566972992,0.020683875,0.03876114273071289,533.5896938053852,0.011666125,0.02555247688293457,456.51202630001245,0.00165095,0.005348057556152344,308.65011973698563,0.00439575,0.01357667694091797,323.74609853223626,0.0048245,0.013557672119140624,355.8223272355395,0.00053004,0.0021181875610351564,250.1898087468713,0.00086758,0.004027514343261719,215.39560652625264,0.013317625,0.025604244232177734,520.0814252838708,0.00134705,0.00534685287475586,251.89170279126307,0.13742723625183106,0.059598715
llama3.1_8b_decode_b4_kv2048,0.0007233799999999999,0.0041995416259765625,172.2366625914943,0.015879875,0.03873137664794922,409.97331430038747,0.011764125,0.02531866455078125,464.5997342407443,0.00175105,0.0053510047912597655,327.1834257737744,0.0041942,0.013573075866699218,308.98622859127664,0.00360465,0.013556825256347656,265.8707412682829,0.00048656,0.002625716552734375,185.27989918613815,0.0010978,0.007001953125,156.77660938771726,0.013403,0.02531121253967285,529.4765128070708,0.0027175,0.0053493999481201175,507.9129988220379,0.141018770904541,0.05562214
