pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Router,layer_avg_latency_ms__Router,layer_avg_power_W__Router,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J,pipeline_energy_with_idle_J,p2p_transfer_energy_J,pipeline_energy_with_idle_and_p2p_J
qwen3_235b_a22b_decode_b16_kv1024,0.00177252,0.00588217529296875,301.3181191579582,0.44040959999999996,0.2338312255859375,235.412757335777,0.640736,0.551413818359375,145.24315077183368,0.0026401,0.004950409698486328,533.1077580284949,0.007699899999999999,0.0238644287109375,322.6125953930259,0.013118000000000001,0.05242616577148437,250.20810813051153,0.0023048,0.004399679260253906,523.8100355760114,0.0013016800000000002,0.004303809814453125,302.4135912381127,0.00100266,0.004467282409667968,224.4245936788516,0.6420928,0.5515302734375,145.5207962519036,0.0,0.004950844955444336,0.0,1.442020113296509,1.75307806,1.9611946402532197,0.007976,1.969170
qwen3_235b_a22b_decode_b16_kv2048,0.00208546,0.00640318603515625,325.66763300939897,0.4932928,0.2338773193359375,263.63091452311653,0.7440512,0.551609423828125,168.60438154609778,0.0026132,0.0049493537902832035,527.7874421025197,0.0077992,0.023744528198242187,328.4373000608523,0.0121245,0.052426080322265624,231.2577549297717,0.0022465199999999997,0.005367578735351562,418.5049663694552,0.00137506,0.004318910827636719,318.3558647741168,0.00192826,0.007879434814453126,244.70349723313717,0.7472896,0.5516625,169.3216523197096,0.0,0.0049526046752929685,0.0,1.447190920562744,2.0148058,2.2227551460746766,0.014687,2.237442
qwen3_235b_a22b_decode_b16_kv4096,0.00304566,0.008777138671875,346.9824798883942,0.4490688,0.2338396484375,240.0367500736586,0.7079104,0.55147099609375,160.4541996593381,0.0,0.004950515365600586,0.0,0.0079606,0.023742063903808595,335.26205883550574,0.013088200000000001,0.05245286865234375,249.5112411962342,0.0028226999999999996,0.008007269897460938,352.4996489606443,0.00058714,0.004298254089355469,136.58720450470216,0.00474046,0.013099862060546875,361.85957962840064,0.7487168,0.551586767578125,169.6680895802605,0.0026401,0.004952889633178711,532.8576768774549,1.4571782743835449,1.94058086,2.1480432876039126,0.028108,2.176152
qwen3_235b_a22b_decode_b16_kv512,0.0010439400000000001,0.0039999072265625,260.96681882887214,0.47019520000000004,0.2337278564453125,251.44822110378655,0.7377600000000001,0.5513091796875,167.26865767031927,0.0026146999999999998,0.004949603271484375,528.051947664506,0.01108,0.02385203857421875,464.4932526677434,0.0122293,0.05242888793945313,233.24446532384832,0.00131146,0.003139361267089844,417.69916192906277,0.0007788,0.00430760498046875,180.7598443179905,0.0005526400000000001,0.0027396755981445313,201.69045524529452,0.7485184,0.5514353515625,169.66834884134042,0.0,0.004956966400146485,0.0,1.4368464329528807,1.9860844400000002,2.194386849540558,0.004620,2.199007
qwen3_235b_a22b_decode_b1_kv1024,0.00049652,0.0036633035278320313,135.52196795187612,0.028480000000000002,0.014601953125,243.7625750472154,0.046776,0.034464456176757814,169.64540095748288,0.0,0.006715596771240235,0.0,0.009855899999999999,0.02756313171386719,357.51772115233916,0.015905600000000002,0.052610369873046875,302.31477645636744,0.00040976,0.0020519480895996095,199.65922055631466,0.0011607,0.005120465698242187,226.65885138513673,0.00050606,0.004260943298339844,118.75061108656793,0.0469748,0.03445815734863281,170.39580590506966,0.0024163,0.00670117416381836,360.4870507476819,0.19221149978637697,0.15298164,0.17037425559677125,0.000498,0.170873
qwen3_235b_a22b_decode_b1_kv2048,0.0005778199999999999,0.004378292541503907,131.95867448711363,0.029074000000000003,0.014590422058105469,249.0643387070212,0.046206,0.03445303955078125,167.63034233053833,0.0026505,0.00669840316772461,395.5863704236144,0.0112102,0.027585787963867188,406.33307648134166,0.0136824,0.052628912353515626,259.967300120402,0.00043096,0.0022444921875,191.9736841974201,0.00064164,0.005117483520507812,125.37136858342929,0.00097202,0.0073930853271484374,131.46946641262284,0.0469112,0.03445008239746094,170.20857781496764,0.0023427,0.006713005065917968,348.8899720284958,0.1962530061340332,0.15469943999999997,0.1719193663389587,0.000918,0.172837
qwen3_235b_a22b_decode_b1_kv4096,0.00057156,0.005442737426757813,105.00305232537268,0.0282324,0.01459319610595703,241.8096542019763,0.0459256,0.03448438720703125,166.4632479021441,0.0026528,0.006701074981689453,395.76916444191136,0.0109049,0.027723150634765624,393.3170888064148,0.012927699999999999,0.0526419677734375,245.56653161276677,0.0005193,0.002770439758300781,187.4180429690638,0.0007083,0.005130340576171875,138.05030500857455,0.00084336,0.0028377932739257813,297.1499012233566,0.046834,0.03448372497558594,169.76083685079954,0.0023135,0.0067164352416992186,344.36538025087185,0.19352524795532225,0.15243342000000001,0.16978255788986207,0.001757,0.171539
qwen3_235b_a22b_decode_b1_kv512,0.0004554,0.003429601135253906,132.75667072888052,0.029183999999999998,0.014593035888671875,249.94373561950664,0.046214,0.034459014892578126,167.6271581465021,0.0025821999999999998,0.006550230407714843,394.08239365963976,0.0112642,0.027573541259765626,408.46413036807365,0.013181899999999998,0.0525112548828125,250.99999833456368,0.0,0.0019173735046386718,0.0,0.00062466,0.005116083984375,122.08836360790951,0.00022482,0.0025841445922851563,86.98602414672156,0.0469488,0.03444038391113281,170.3893013141889,0.0,0.006563906860351562,0.0,0.18973857131958008,0.15067998,0.16813481545761108,0.000289,0.168424
qwen3_235b_a22b_decode_b4_kv1024,0.00084812,0.004224874877929687,200.7249579182662,0.1209872,0.05836320190429688,259.106303012248,0.18522239999999998,0.13786553955078126,167.9307415212677,0.0,0.004573411178588867,0.0,0.0104248,0.02363431091308594,441.05010322329593,0.0154669,0.05091571350097656,303.7455235485963,0.00054556,0.002698863220214844,202.1165111241981,0.0007070199999999999,0.004031988525390625,175.3362983426334,0.0007327,0.004277906494140625,171.26008315588638,0.1873952,0.137824560546875,169.95264801561657,0.002346,0.004582262420654297,511.7717368747934,0.43299263313293457,0.5246759,0.5734346735866547,0.001994,0.575429
qwen3_235b_a22b_decode_b4_kv2048,0.00122532,0.00485462646484375,252.38152297704514,0.11175999999999998,0.05836666259765625,239.33172387395172,0.1817872,0.1378623779296875,164.81628191957543,0.0,0.004572073745727539,0.0,0.0072066000000000005,0.023608674621582032,305.22677750641526,0.011513200000000001,0.05090970458984375,226.13122356274005,0.00132186,0.0034365029907226564,384.6095476803683,0.00099398,0.0040278118896484374,246.7552682357029,0.0009681999999999999,0.007407590942382813,130.69648663978754,0.18721759999999998,0.13784656982421875,169.76411310076986,0.0016635,0.004581059265136719,362.98284898601145,0.43747365486145023,0.50565746,0.55421302260643,0.003672,0.557885
