pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Router,layer_avg_latency_ms__Router,layer_avg_power_W__Router,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J,pipeline_energy_with_idle_J,p2p_transfer_energy_J,pipeline_energy_with_idle_and_p2p_J
qwen3_235b_a22b_prefill_b16_s1024,0.8909730333333333,1.6221369791666667,549.2536658373513,2.6880384,0.5583771484375,601.7431586426062,3.552204,0.742312255859375,598.1576854738604,0.1560647,0.2542634765625,613.7798396680053,2.2391999,3.72644921875,600.8876418947207,2.0461104,3.405213671875,600.8696127594213,0.9921909333333333,1.688660546875,587.5552468309845,0.0453586,0.075922412109375,597.4225901157946,1.2884682666666667,2.92493359375,440.50824953777686,3.5524447999999995,0.741916259765625,598.5180207767976,0.1500834,0.25423759765625,590.3171319842904,15.994423160807292,17.601136433333334,18.725980,8.167149,26.893129
qwen3_235b_a22b_prefill_b16_s2048,3.4115710666666668,6.117665625,557.6539072900138,5.6155592,1.1690044921875,600.4567223285535,7.007595200000001,1.4581478515625,600.7206741104461,0.2939936,0.4908580078125,598.9293643113306,4.4280879,7.38562578125,599.5491303183782,4.4997317,7.5051484375,599.5469349251138,4.002684733333333,6.708984895833333,596.6100928916444,0.11394656666666667,0.18771455078125,607.0119612216566,5.3029726,12.843915625,412.8749252680634,7.007417600000001,1.45821181640625,600.6787702565863,0.299994,0.490825048828125,611.193391293399,45.816102132161454,41.98355416666667,46.279568,30.078193,76.357761
qwen3_235b_a22b_prefill_b16_s4096,14.1972462,23.6627375,599.9779298560152,10.8948328,2.2667486328125,600.7894962547542,12.480976,2.59624453125,600.9082570937023,0.5879497,0.977608203125,601.4089453837205,8.8558273,14.76369375,599.8326488958483,8.2075739,13.673296875,600.2574911336832,16.08845403333333,26.825125,599.747973068971,0.22391143333333333,0.37241097005208335,601.2405769305115,28.168952166666664,57.98784583333333,485.769237136344,12.479084,2.596425,600.7752216783309,0.5820073,0.97772021484375,595.2621286782927,146.69985651041662,112.76681483333333,134.869305,115.131967,250.001272
qwen3_235b_a22b_prefill_b16_s512,0.26993076666666665,0.45028499348958334,599.4600205429612,1.4000592,0.289266357421875,604.9944493493498,1.7690752,0.36279609375,609.5191739280054,0.07205349999999999,0.11952618408203125,602.809768929942,0.9960876000000001,1.6669916015625,597.5294515457822,0.9720105,1.615408984375,601.7044122509074,0.25730736666666665,0.46439401041666667,554.0650868541875,0.0199905,0.03302913004557292,605.2192023814073,0.32361843333333334,0.7342698567708333,440.7302266421101,1.7279368,0.3623302490234375,596.1094866322137,0.071965,0.119555859375,601.9145569007609,6.217853320312499,7.8800348666666675,8.425392,2.365587,10.790979
qwen3_235b_a22b_prefill_b1_s1024,0.0545374,0.10623538411458333,513.3546432480758,0.16559359999999998,0.045216680908203126,457.7554019078751,0.1859632,0.05322808837890625,436.69235820627927,0.0171831,0.021362713623046876,804.2288968699419,0.1438449,0.2354595458984375,610.8952555802313,0.12087049999999999,0.20368900146484376,593.3881016114799,0.06107806666666667,0.10916971028645833,559.4657550110569,0.0041438,0.008761825561523438,472.8946112767643,0.0791062,0.18592666015625,425.46281589939684,0.23467359999999998,0.053230474853515626,551.0573354284145,0.0112345,0.021360812377929687,525.8873054305984,1.043640897623698,1.0782288666666666,1.147818,0.510447,1.658265
qwen3_235b_a22b_prefill_b1_s2048,0.21334896666666667,0.38514986979166665,553.930241427663,0.3451232,0.07634366455078125,565.0559935055619,0.47675680000000004,0.1072763916015625,555.5094908150452,0.0181635,0.032393896484375,560.6672199734064,0.2770501,0.46357939453125,597.6238205295838,0.27143890000000004,0.45355029296875,598.4650256457379,0.2462403,0.41957281901041665,586.875956878963,0.0063843,0.013372889200846354,477.3765003982533,0.3337218666666667,0.8211102864583333,406.4230460746865,0.48246000000000006,0.10734801025390625,561.7795858658911,0.0180179,0.03248655090332031,554.5927165858915,2.9121840657552083,2.6887058333333336,2.964107,1.879887,4.843994
qwen3_235b_a22b_prefill_b1_s4096,0.8841505666666667,1.47216875,600.5709120264772,0.6811272,0.143987646484375,591.2931795498824,0.860016,0.1866721435546875,575.8743149517866,0.0412077,0.06790967407226563,606.7775854575038,0.54605,0.9110453125,599.3592470979203,0.49173590000000006,0.8204271484375,599.3585619117899,1.0061470333333333,1.6780489583333333,599.587249329631,0.013855266666666668,0.02154463094075521,643.0682414438048,1.7510393,3.630140625,482.35682134822,0.9103032,0.18613131103515626,611.3188001603326,0.041627199999999996,0.06772835693359375,614.597412596831,9.185804557291668,7.227259366666666,8.610818,7.195748,15.806566
qwen3_235b_a22b_prefill_b1_s512,0.013383866666666668,0.022964796956380207,582.7523081050073,0.11854400000000001,0.024602230834960936,602.243610557771,0.13660160000000002,0.03479756164550781,490.6662507359881,0.0043682,0.012234108734130859,356.96253359740194,0.0773208,0.1309986572265625,590.2270023294816,0.06626660000000001,0.11762073974609374,563.3426078339022,0.0111679,0.023461761474609374,475.9695593646734,0.002825,0.006583147684733073,429.0616307303947,0.010005333333333335,0.0158555908203125,630.9798193653984,0.10745999999999999,0.03479901123046875,385.9804897795225,0.0045495,0.01223578872680664,371.71536573685563,0.4361533950805664,0.5524928,0.597710,0.147849,0.745559
qwen3_235b_a22b_prefill_b4_s1024,0.22038066666666667,0.40853909505208336,539.4292419740246,0.682384,0.1435513671875,594.1844007357663,0.9058856,0.18576866455078125,609.5406993339283,0.0338556,0.06776205444335938,499.6052531150199,0.5468770000000001,0.90361708984375,605.2008495574536,0.4920256,0.8205876953125,599.5939217612203,0.24986223333333335,0.4220408203125,592.0265111032079,0.011742200000000001,0.021548590087890625,544.8948212360428,0.32625566666666667,0.734362109375,444.26588406627803,0.8903232,0.1857840087890625,599.01841547158,0.034978699999999995,0.06775221557617188,516.2561267281361,3.961313710530599,4.394570466666667,4.663602,2.041787,6.705389
qwen3_235b_a22b_prefill_b4_s2048,0.8640177,1.5271669270833332,565.7595399711059,1.3972183999999999,0.291130859375,599.8995637371205,1.7248008000000001,0.3661425048828125,588.8332394420459,0.0719819,0.11969713134765625,601.3501813080242,1.0091014999999999,1.67910625,600.9679907041351,0.972131,1.61659453125,601.3384825297949,1.0026807,1.6773807291666667,597.7598170501473,0.020012133333333335,0.03328639729817708,601.191011090912,1.3879054666666666,3.5659145833333334,389.2112110212058,1.7755184000000002,0.3658573974609375,606.6190291550682,0.0721332,0.11952796630859375,603.4636799144795,11.361805277506512,10.2975012,11.551348,7.519548,19.070896
