pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Router,layer_avg_latency_ms__Router,layer_avg_power_W__Router,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J,p2p_transfer_energy_J,pipeline_energy_with_p2p_J
qwen3_30b_a3b_decode_b16_kv1024,0.0007743800000000001,0.004443928833007813,174.23772003669276,0.0073868,0.004022856140136719,229.4725259009973,0.006734,0.004761380767822266,176.7523581542256,0.00143855,0.0038740478515625,371.24473511638774,0.0031069,0.010075257873535156,308.3392860146855,0.00245465,0.008647283172607422,283.83414530441075,0.00053832,0.0029814419555664064,180.53538987217726,0.00066698,0.003508119812011719,190.10446550335377,0.00101926,0.004047998657226563,251.77237862514426,0.0074792,0.004759702301025391,196.38025321303428,0.00092235,0.003877862548828125,237.7958750051237,0.05499987991333008,0.03252139,0.004017,0.036539
qwen3_30b_a3b_decode_b16_kv2048,0.00135216,0.005565321044921875,242.94347896093896,0.0075244,0.003930361557006836,239.25086269591765,0.0072184,0.004679982376098633,192.7654566430639,0.0010015,0.003874150466918945,258.4450197360695,0.0031016999999999998,0.010033795166015625,309.0975568820166,0.0027231,0.008671614074707032,313.98537636714644,0.0012943199999999998,0.004531583251953125,285.59713982054393,0.00072614,0.0035008242797851565,207.39799688133817,0.00104676,0.007015306396484375,149.20262921627327,0.007706,0.004619968032836914,208.45654256268753,0.00087285,0.003990884780883789,218.6579360041571,0.06041379142761231,0.03456733,0.007373,0.041940
qwen3_30b_a3b_decode_b16_kv4096,0.00276364,0.006592941284179687,419.15785390302113,0.0077751999999999995,0.004021392059326172,241.62760898976447,0.006164800000000001,0.00476032485961914,161.8492160619648,0.0014967000000000001,0.0038749279022216795,386.1639126081396,0.0033816000000000002,0.010038760375976563,336.8232228320319,0.0014188,0.008610355377197265,164.75992778202854,0.00224018,0.0053010845947265624,422.55875465166775,0.00066644,0.0035077243041992186,189.97076704075022,0.00191354,0.006938862915039062,275.7565659272031,0.0079056,0.004759305572509765,207.59600138448963,0.0009272999999999999,0.0038775440216064455,239.09143990004094,0.062283223266601566,0.0366538,0.014084,0.050737
qwen3_30b_a3b_decode_b16_kv512,0.00070652,0.0034143960571289063,206.90219894820808,0.0,0.004021883010864258,0.0,0.0050404000000000004,0.004761199951171875,132.306845422985,0.0,0.003875680160522461,0.0,0.0032074,0.010035566711425782,319.57335276592573,0.0028338,0.00860987548828125,329.0964844197477,0.00086788,0.0025183705139160155,344.5583223327483,0.00033905999999999997,0.003509234619140625,96.60884991240113,0.00033074,0.0024591212463378905,134.47184376183583,0.0074196,0.004758168029785156,194.8807088641076,0.00098325,0.003876182556152344,253.60694721031382,0.05183967834472657,0.021728650000000002,0.002340,0.024068
qwen3_30b_a3b_decode_b1_kv1024,0.00024288,0.0034234014892578126,70.93875049588601,0.0090864,0.004026172637939453,282.0406700054209,0.0057652,0.004319508743286133,166.80259028797133,0.0010865500000000001,0.003987481689453125,272.4296783191971,0.0062555,0.03301148681640625,189.48742976957882,0.0049565,0.017811160278320314,278.2640593169363,0.00039832,0.0020097215270996095,198.15827649419793,0.00030902,0.0030712396240234374,100.60526456938089,0.00044886000000000004,0.004012870483398438,111.84508631755324,0.0093356,0.004320532989501953,270.03989900290753,0.0,0.003991339111328125,0.0,0.08398491539001463,0.03788483,0.000251,0.038136
qwen3_30b_a3b_decode_b1_kv2048,0.00047880000000000004,0.004099381103515625,116.78643420327286,0.007091200000000001,0.004015000152587891,220.7222457484899,0.0,0.004321656036376953,0.0,0.00108285,0.003989430236816406,271.3689482850867,0.0062741,0.03300133361816406,190.10980674896015,0.0049014,0.01780287322998047,275.29862372204417,0.00039475999999999997,0.0019463002014160156,202.78803867633377,0.00031756,0.0030712396240234374,103.3858500603479,0.0009800199999999998,0.00700827392578125,139.83026185511196,0.0091096,0.004321772766113281,263.4263275764092,0.0,0.003985276794433594,0.0,0.08756253768920898,0.030630290000000004,0.000461,0.031091
qwen3_30b_a3b_decode_b1_kv4096,0.00058278,0.004564727172851562,127.65949511723876,0.0071616,0.004013833618164062,222.97880530031193,0.0064584,0.004320955276489258,186.78987426113213,0.00120205,0.0039932350158691406,300.9525945633799,0.00639055,0.03301766357421875,193.5429372387423,0.0037286999999999997,0.017800244140625,209.46109656300305,0.00037656,0.0023354220581054685,161.21430967419897,0.00027786,0.0030708856201171874,90.47113739217929,0.0006192799999999999,0.0026822964477539062,230.84905612845415,0.0093472,0.004320337677001953,270.38521436221396,0.0009808,0.003984571075439453,246.08993176963935,0.08410417167663574,0.03712578,0.000880,0.038006
qwen3_30b_a3b_decode_b1_kv512,0.00045816000000000005,0.003255464172363281,140.71902464488227,0.0092176,0.004032199859619141,285.6844925064113,0.0058416,0.004321603012084961,168.92878427496635,0.0012575,0.003893182373046875,322.91695597376946,0.0063662,0.033002850341796876,192.89175985883753,0.0038545000000000003,0.017798030090332033,216.55177860114975,0.0003565,0.001772428741455078,201.09087710952673,0.00031322,0.003053746032714844,102.55167576832136,0.00024324,0.002457119293212891,98.98028420195782,0.009322,0.0043100143432617186,270.30107783771706,0.00102265,0.003891062545776367,262.7586587875431,0.08178770080566405,0.03825317,0.000146,0.038399
qwen3_30b_a3b_decode_b4_kv1024,0.00058524,0.0035237380981445313,166.06748730914458,0.007138800000000001,0.003705062484741211,240.7916946650131,0.005164800000000001,0.00420111198425293,153.64084172565057,0.0,0.0036121185302734377,0.0,0.002597,0.008917922973632813,291.1819536435298,0.0012151999999999998,0.008407097625732421,144.52706041271415,0.00035304,0.0021251437377929686,166.09748432844464,0.0018441800000000002,0.01639677001953125,112.46892645938351,0.00057732,0.004031320190429687,143.19602424983162,0.0072372,0.004204344177246094,215.1251494901973,0.00087355,0.003613411331176758,241.68742464147962,0.0627380411529541,0.027586330000000003,0.001004,0.028591
qwen3_30b_a3b_decode_b4_kv2048,0.00064478,0.004202457580566406,153.41517239234346,0.0069808000000000005,0.0037027969360351565,235.6040962341529,0.0057284,0.004202019119262696,170.37025791769366,0.0,0.0036143280029296873,0.0,0.0024912,0.008917809295654297,279.3229424586095,0.0012507999999999998,0.008410081481933594,148.7093683774307,0.0008483,0.0026250265502929687,323.11424396791693,0.00166428,0.016453824462890624,101.14550708767004,0.00075754,0.007001707763671875,108.18779405670698,0.0071648,0.004204713439941406,212.95402208040397,0.0007844999999999999,0.003612801742553711,217.0891139895437,0.06694756637573243,0.028315399999999998,0.001843,0.030159
