pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Router,layer_avg_latency_ms__Router,layer_avg_power_W__Router,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J
qwen3_30b_a3b_prefill_b16_s1024,0.44949118000000005,0.811417890625,553.952487971907,0.7450363999999999,0.1577407958984375,590.3866575462228,0.9150067999999999,0.18650526123046876,613.249049124753,0.0599948,0.09940597534179688,603.5204927773129,0.5195600499999999,0.86502158203125,600.6255028802899,0.4470047,0.743608837890625,601.1224276273643,0.50057968,0.843364375,593.5451083210341,0.01820746,0.0320044970703125,568.8878590356011,0.65104534,1.46442375,444.57054787112526,0.8879968,0.18686619873046875,593.9970880557715,0.05998244999999999,0.09941688842773437,603.3315034460253,5.4897760522460946,5.25390566
qwen3_30b_a3b_prefill_b16_s2048,1.72447398,3.059769375,563.5910407757383,1.5119552,0.31595478515625,598.1614492472335,1.5381452,0.3203373779296875,600.1970132955748,0.1289818,0.2170065185546875,594.3594427709131,1.0415463,1.7349775390625,600.3160504484209,0.8960279000000001,1.49365703125,599.8821295372753,2.0144885,3.35689875,600.098733285301,0.05754131999999999,0.09658986328125,595.7196868743883,2.6751629599999998,6.4278325,416.1808492011999,1.559948,0.32058662109375,608.2317901178011,0.1320393,0.2168720947265625,608.8262408639933,17.560482456054686,13.280310460000003
qwen3_30b_a3b_prefill_b16_s4096,7.099781119999999,11.83471375,599.9061475160255,3.0717604,0.641435595703125,598.60389271249,2.9568996,0.617221826171875,598.8253120858695,0.24896089999999998,0.414603515625,600.4720381735825,2.0699212,3.45246484375,599.5428124626078,1.8269682,3.0433423828125,600.3103664037791,8.04374702,13.42092,599.3386105242604,0.10887488,0.19471482421875,559.1437060483687,14.05345126,28.9620375,485.2327958199225,2.9764624,0.61791484375,602.11085776897,0.24898665,0.415184423828125,599.6937569665992,63.61455350585938,42.70581363000001
qwen3_30b_a3b_prefill_b16_s512,0.136814,0.2271753515625,602.2321907524051,0.3619684,0.07697903442382813,587.758487714299,0.45815559999999994,0.09448941040039062,606.0819878962553,0.03903575,0.062470391845703126,624.8510505074232,0.27602020000000005,0.458922900390625,601.4455085170368,0.24903925,0.416017431640625,598.6182197642296,0.13014541999999998,0.23234662109375,560.1282407619041,0.01073806,0.019837591552734374,541.2822542981521,0.16498828000000001,0.36711421875,449.414544120636,0.4570152,0.09467103881835938,603.412075167435,0.036098700000000004,0.062441778564453126,578.1029339652911,2.1124657690429687,2.3200188600000002
qwen3_30b_a3b_prefill_b1_s1024,0.02065988,0.03569791015625,578.724349867365,0.0584644,0.013786279296875,530.0390237199648,0.052896799999999994,0.01726961364746094,382.8528612594749,0.0053857,0.011770233917236328,457.5284675700996,0.0401017,0.06773991088867187,591.9813665933927,0.03887115,0.06152381591796875,631.785763195834,0.02584666,0.0440795654296875,586.34723440009,0.0023306,0.0060656005859375,384.20610686577123,0.0274954,0.045613095703125,602.7801841949102,0.0718672,0.017262841796875,520.3589452352079,0.00465465,0.011770836639404297,395.4068499148562,0.33257970397949216,0.34857414
qwen3_30b_a3b_prefill_b1_s2048,0.10627953999999999,0.19519291015625,544.476989794582,0.11519159999999999,0.026995541381835936,533.3595447553449,0.1208292,0.03167263793945312,476.8489160298619,0.00870475,0.0173753173828125,500.9516990026218,0.07212635,0.11930081787109376,604.5627518257176,0.06355935,0.10629464111328125,597.9395184043677,0.12332286,0.2096465234375,588.234427736123,0.00438034,0.00937083984375,467.4204247947735,0.16533448,0.4033343359375,409.9145281478816,0.1044992,0.03166629943847656,412.48557550457053,0.0115298,0.017371958923339845,663.6509277675335,1.168221823425293,0.89575747
qwen3_30b_a3b_prefill_b1_s4096,0.4416733,0.736764453125,599.4710118795466,0.21921880000000002,0.04162003173828125,658.3715093563148,0.2567076,0.0570850830078125,562.1006719619429,0.01993575,0.03168680419921875,629.1225263482227,0.12316125,0.208425927734375,590.9023420716951,0.14455825,0.2388908203125,605.11336402831,0.50408026,0.840196328125,599.9492298031953,0.006717999999999999,0.01205658447265625,557.182117949099,0.87571708,1.8127634375,483.07961082870133,0.23471199999999998,0.05710553588867188,513.7544308909659,0.0169469,0.03168663330078125,534.807666317174,4.068281639404297,2.8434291899999997
qwen3_30b_a3b_prefill_b1_s512,0.00664208,0.014678514404296876,452.4727976772112,0.01785,0.008611030578613281,259.06348011791096,0.030006799999999997,0.0117724609375,318.5837175077404,0.0042515999999999995,0.008958348846435546,474.52343166627,0.020289949999999998,0.032273507690429686,628.6557455379459,0.01732365,0.03113294372558594,556.3628430486839,0.008517480000000001,0.013840576171875,615.3545024273835,0.00184582,0.005580199584960937,330.74328071768184,0.004816,0.008683552856445313,554.5664506408822,0.049337599999999995,0.011772255706787109,523.8333446714119,0.00389845,0.008957344055175781,435.14279230039364,0.15626073455810546,0.16477942999999998
qwen3_30b_a3b_prefill_b4_s1024,0.1236965,0.205258671875,602.6301465784354,0.21892319999999998,0.04150572814941406,659.2945935508259,0.25393319999999997,0.05712551879882812,555.6327082451535,0.01686825,0.031700973510742185,532.0817865572657,0.12310150000000002,0.2071941650390625,594.126218454519,0.14413295,0.2392040283203125,602.5429947874736,0.12618472,0.2120623046875,595.0294953276225,0.0065872000000000005,0.01205836181640625,546.2522290992515,0.1643927,0.3685839453125,446.00615656107203,0.23233,0.057116766357421876,508.44092472310615,0.016797,0.03171633911132812,529.5809622220507,1.4635268029785158,1.4269472200000002
qwen3_30b_a3b_prefill_b4_s2048,0.43076552,0.76466921875,563.3301663488336,0.36324720000000005,0.07777440795898438,583.8027340624152,0.45982520000000005,0.09512018432617188,604.2546699094668,0.03895895,0.06249605712890625,623.3622459153213,0.2794523,0.46292314453125,603.6619441032299,0.249061,0.415994482421875,598.705219728862,0.5035738,0.839544296875,599.8120140452992,0.01120126,0.019828983154296875,564.8765081219622,0.6904038,1.7511425,394.25548274441184,0.4562584,0.09545405883789063,597.4722232475145,0.03599615,0.06256239624023438,575.3491655233858,4.647509730224609,3.5187435799999998
