network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp,config,gene
replknet31b_b1_seq1,simple_output_stationary,1,1,4,1.4221459875667901e-08,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5']","{'binary_string': '10000010110', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
replknet31b_b32_seq1,simple_output_stationary,1,1,1,3.91281178032528e-05,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5']","{'binary_string': '10001000111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
mobilenet_v3_small_b1_seq1,eyeriss_like,1,1,1,1.8294476793637795e-09,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_HBM3_HBM3_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_HBM3_HBM3_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_HBM3_HBM3_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_HBM3_HBM3_DDR5']","{'binary_string': '10000000100110', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'HBM3', 'HBM3', 'DDR5']}"
mobilenet_v3_small_b32_seq1,eyeriss_like,1,1,1,5.185998458913976e-06,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5']","{'binary_string': '10000000000100', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
resnet50_b1_seq1,simba_like,1,2,4,1.8154498494699632e-08,"['simba_like@glb1@pe_x_scale2@pe_y_scale4@2@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3_HBM3_GDDR7', 'simba_like@glb1@pe_x_scale2@pe_y_scale4@2@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3_HBM3_GDDR7', 'simba_like@glb1@pe_x_scale2@pe_y_scale4@2@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3_HBM3_GDDR7', 'simba_like@glb1@pe_x_scale2@pe_y_scale4@2@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3_HBM3_GDDR7', 'simba_like@glb1@pe_x_scale2@pe_y_scale4@2@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3_HBM3_GDDR7']","{'binary_string': '110100011000', 'buffer_config': ['GDDR7', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'GDDR7', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'GDDR7']}"
resnet50_b32_seq1,simple_output_stationary,1,3,1,4.750986683822583e-05,"['simple_output_stationary@glb1@pe_x_scale3@pe_y_scale1@2@1@2.5D@GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3', 'simple_output_stationary@glb1@pe_x_scale3@pe_y_scale1@2@0@2.5D@GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '100000001000', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
efficientnet_b0_b1_seq1,simple_output_stationary,1,1,1,1.7321437811748232e-09,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5']","{'binary_string': '10000000010', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5']}"
efficientnet_b0_b32_seq1,eyeriss_like,1,1,1,6.1022979624316345e-06,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5']","{'binary_string': '10000000010', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
gpt_OPT-66B_prefill_b1_seq256,simba_like,16,4,4,7.933907194658467e-05,"['simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb16@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '111111101101', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'GDDR7', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
gpt_OPT-66B_prefill_b4_seq256,simba_like,1,4,4,0.0006279656574341308,"['simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_DDR5_HBM3_DDR5_DDR5_HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '111111111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5', 'HBM3', 'DDR5', 'DDR5', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
