network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp,config,gene
replknet31b_b1_seq1,simple_output_stationary,1,2,4,2.6161160707759596e-05,"['simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@2@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@2@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@1@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@2@1@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@2@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@1@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@2@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7', 'simple_output_stationary@glb1@pe_x_scale2@pe_y_scale4@2@0@2D@GDDR7_GDDR7_GDDR7_HBM3_HBM3_GDDR7_GDDR7_LPDDR5_HBM3_HBM3_HBM3_GDDR7']","{'binary_string': '11110101110', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'HBM3', 'HBM3', 'GDDR7', 'GDDR7', 'LPDDR5', 'HBM3', 'HBM3', 'HBM3', 'GDDR7']}"
replknet31b_b32_seq1,eyeriss_like,1,1,1,0.0039780843682855685,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_LPDDR5_LPDDR5_DDR5_DDR5']","{'binary_string': '11000011111', 'buffer_config': ['DDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'HBM3', 'GDDR7', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5']}"
mobilenet_v3_small_b1_seq1,simple_output_stationary,1,1,1,2.556234251621513e-07,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@1@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_DDR5']","{'binary_string': '10111000000111', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'DDR5']}"
mobilenet_v3_small_b32_seq1,eyeriss_like,1,1,1,0.00036183269169778014,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_LPDDR5']","{'binary_string': '10000000010100', 'buffer_config': ['DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'DDR5', 'LPDDR5']}"
resnet50_b1_seq1,simba_like,16,4,2,8.354853001203524e-06,"['simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb16@pe_x_scale4@pe_y_scale2@1@0@2D@DDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5']","{'binary_string': '110110101110', 'buffer_config': ['DDR5', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'DDR5', 'DDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
resnet50_b32_seq1,simple_output_stationary,1,1,1,0.0037007715915274427,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@1@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5']","{'binary_string': '101010111001', 'buffer_config': ['LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5']}"
efficientnet_b0_b1_seq1,simple_output_stationary,1,1,1,2.770195619517353e-07,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_LPDDR5']","{'binary_string': '10110000011', 'buffer_config': ['LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'LPDDR5']}"
efficientnet_b0_b32_seq1,eyeriss_like,1,1,1,0.0005665942220885415,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5']","{'binary_string': '10001000110', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'DDR5']}"
gpt_OPT-66B_prefill_b1_seq256,simba_like,1,2,3,0.05948582067564757,"['simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_DDR5_DDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5']","{'binary_string': '111111101111', 'buffer_config': ['GDDR7', 'LPDDR5', 'GDDR7', 'DDR5', 'DDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
gpt_OPT-66B_prefill_b4_seq256,simba_like,1,2,2,0.4768261518320244,"['simba_like@glb1@pe_x_scale2@pe_y_scale2@2@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@2@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@2@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@2@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@2@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale2@2@0@2D@DDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_LPDDR5_DDR5_DDR5']","{'binary_string': '111111001111', 'buffer_config': ['DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'HBM3', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'LPDDR5', 'DDR5', 'DDR5']}"
