network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy,config,gene
replknet31b_b1_seq1,simple_output_stationary,1,1,4,0.0015562181254346018,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_HBM3_HBM3_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_HBM3_HBM3_HBM3_DDR5']","{'binary_string': '10010000110', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
replknet31b_b32_seq1,simple_output_stationary,1,1,3,0.04032218785351271,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale3@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_GDDR7', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale3@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5_LPDDR5_LPDDR5_GDDR7']","{'binary_string': '10000000100', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7']}"
mobilenet_v3_small_b1_seq1,simple_output_stationary,1,1,2,0.00017270912222249022,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale2@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale2@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale2@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5']","{'binary_string': '10010000000100', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5']}"
mobilenet_v3_small_b32_seq1,simba_like,1,1,1,0.0060151814438989554,"['simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_HBM3_HBM3_HBM3_DDR5']","{'binary_string': '10000000000100', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
resnet50_b1_seq1,simba_like,1,4,2,0.0016030902472900497,"['simba_like@glb1@pe_x_scale4@pe_y_scale2@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale2@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb1@pe_x_scale4@pe_y_scale2@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '100100001000', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
resnet50_b32_seq1,simple_output_stationary,1,3,1,0.048038681064605744,"['simple_output_stationary@glb1@pe_x_scale3@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_DDR5_DDR5_GDDR7', 'simple_output_stationary@glb1@pe_x_scale3@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_DDR5_DDR5_GDDR7', 'simple_output_stationary@glb1@pe_x_scale3@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_DDR5_DDR5_GDDR7']","{'binary_string': '100010001000', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'GDDR7']}"
efficientnet_b0_b1_seq1,simba_like,1,1,1,0.00017911486905927067,"['simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@1@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5']","{'binary_string': '10010000010', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5']}"
efficientnet_b0_b32_seq1,eyeriss_like,1,1,1,0.007069542931878191,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_GDDR7_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2.5D@HBM3_HBM3_HBM3_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_GDDR7_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_GDDR7_LPDDR5']","{'binary_string': '10010000010', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'GDDR7', 'GDDR7', 'LPDDR5']}"
gpt_OPT-66B_prefill_b1_seq256,simba_like,1,4,4,0.07353067306978524,"['simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'simba_like@glb1@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_LPDDR5_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5']","{'binary_string': '111110101100', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'LPDDR5', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
gpt_OPT-66B_prefill_b4_seq256,simba_like,4,4,4,0.2114162043813947,"['simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5_DDR5_LPDDR5_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '111110101100', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5', 'DDR5', 'LPDDR5', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
