network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy,config,gene
replknet31b_b1_seq1,eyeriss_like,1,1,1,0.4408618160012341,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_LPDDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_LPDDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_LPDDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_LPDDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@1@2D@DDR5_DDR5_DDR5_DDR5_DDR5_GDDR7_LPDDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5']","{'binary_string': '10000111100', 'buffer_config': ['DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'GDDR7', 'LPDDR5', 'DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
replknet31b_b32_seq1,simple_output_stationary,1,1,1,3.341599451266379,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_HBM3_LPDDR5_DDR5_LPDDR5_DDR5_HBM3_LPDDR5_LPDDR5_LPDDR5']","{'binary_string': '11011111001', 'buffer_config': ['DDR5', 'DDR5', 'DDR5', 'HBM3', 'LPDDR5', 'DDR5', 'LPDDR5', 'DDR5', 'HBM3', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
mobilenet_v3_small_b1_seq1,simple_output_stationary,1,1,1,0.02330032894599845,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@1@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_DDR5']","{'binary_string': '11000000000100', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'DDR5']}"
mobilenet_v3_small_b32_seq1,simple_output_stationary,1,1,1,0.31843902361311927,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@1@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5']","{'binary_string': '10011000000100', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5']}"
resnet50_b1_seq1,eyeriss_like,1,1,1,0.3176707010942663,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5']","{'binary_string': '100000001000', 'buffer_config': ['DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5']}"
resnet50_b32_seq1,simba_like,1,1,1,3.3240593980287705,"['simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5']","{'binary_string': '100100001001', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5']}"
efficientnet_b0_b1_seq1,eyeriss_like,4,1,1,0.02782798132516056,"['eyeriss_like@glb4@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_HBM3_GDDR7_HBM3_LPDDR5_GDDR7_HBM3_HBM3_DDR5_HBM3_HBM3_LPDDR5', 'eyeriss_like@glb4@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_HBM3_GDDR7_HBM3_LPDDR5_GDDR7_HBM3_HBM3_DDR5_HBM3_HBM3_LPDDR5', 'eyeriss_like@glb4@pe_x_scale1@pe_y_scale1@2@0@2D@LPDDR5_HBM3_GDDR7_HBM3_LPDDR5_GDDR7_HBM3_HBM3_DDR5_HBM3_HBM3_LPDDR5', 'eyeriss_like@glb4@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_HBM3_GDDR7_HBM3_LPDDR5_GDDR7_HBM3_HBM3_DDR5_HBM3_HBM3_LPDDR5']","{'binary_string': '10100100100', 'buffer_config': ['LPDDR5', 'HBM3', 'GDDR7', 'HBM3', 'LPDDR5', 'GDDR7', 'HBM3', 'HBM3', 'DDR5', 'HBM3', 'HBM3', 'LPDDR5']}"
efficientnet_b0_b32_seq1,simple_output_stationary,1,1,1,0.5615013033254659,"['simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@1@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@2@1@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5', 'simple_output_stationary@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5_LPDDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5_DDR5']","{'binary_string': '10110000010', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5', 'DDR5']}"
gpt_OPT-66B_prefill_b1_seq256,simba_like,1,1,1,12.923178600246015,"['simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_LPDDR5_DDR5_DDR5_HBM3_HBM3_LPDDR5_HBM3_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5']","{'binary_string': '111110111101', 'buffer_config': ['DDR5', 'LPDDR5', 'DDR5', 'DDR5', 'HBM3', 'HBM3', 'LPDDR5', 'HBM3', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
gpt_OPT-66B_prefill_b4_seq256,simba_like,1,2,1,32.81892362067872,"['simba_like@glb1@pe_x_scale2@pe_y_scale1@2@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@2@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@2@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@2@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@2@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale2@pe_y_scale1@2@0@2D@GDDR7_DDR5_GDDR7_DDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_DDR5']","{'binary_string': '111110001111', 'buffer_config': ['GDDR7', 'DDR5', 'GDDR7', 'DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5']}"
gpt_OPT-66B_decode_b1_seq1,eyeriss_like,1,4,1,5.172468631439406,"['eyeriss_like@glb1@pe_x_scale4@pe_y_scale1@2@0@2.5D@DDR5_HBM3_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_GDDR7_HBM3_DDR5_HBM3_HBM3_LPDDR5', 'eyeriss_like@glb1@pe_x_scale4@pe_y_scale1@1@0@2D@DDR5_HBM3_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_GDDR7_HBM3_DDR5_HBM3_HBM3_LPDDR5', 'eyeriss_like@glb1@pe_x_scale4@pe_y_scale1@2@0@2D@DDR5_HBM3_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_GDDR7_HBM3_DDR5_HBM3_HBM3_LPDDR5', 'eyeriss_like@glb1@pe_x_scale4@pe_y_scale1@2@0@2D@DDR5_HBM3_GDDR7_GDDR7_GDDR7_HBM3_GDDR7_GDDR7_HBM3_DDR5_HBM3_HBM3_LPDDR5']","{'binary_string': '100000101100', 'buffer_config': ['DDR5', 'HBM3', 'GDDR7', 'GDDR7', 'GDDR7', 'HBM3', 'GDDR7', 'GDDR7', 'HBM3', 'DDR5', 'HBM3', 'HBM3', 'LPDDR5']}"
gpt_OPT-66B_decode_b4_seq1,simba_like,1,1,1,6.604627628168535,"['simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5', 'simba_like@glb1@pe_x_scale1@pe_y_scale1@2@0@2D@DDR5_DDR5_LPDDR5_LPDDR5_DDR5_GDDR7_LPDDR5_HBM3_DDR5_LPDDR5_LPDDR5_LPDDR5_DDR5']","{'binary_string': '111111111111', 'buffer_config': ['DDR5', 'DDR5', 'LPDDR5', 'LPDDR5', 'DDR5', 'GDDR7', 'LPDDR5', 'HBM3', 'DDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'DDR5']}"
